id,rbi,hr,obp,avg,hits,age
572041,65,21,.316,.257,106,1987
571437,38,8,.295,.181,44,1991
543305,79,27,.366,.248,119,1989
594809,33,5,.394,.301,96,1988
430945,63,15,.313,.281,163,1985
608365,38,5,.317,.250,105,1994
134181,65,15,.328,.273,118,1979
408236,26,6,.299,.237,40,1982
405395,64,19,.289,.245,114,1980
444876,34,4,.279,.231,112,1986
460086,54,13,.324,.245,124,1984
592743,75,11,.337,.292,162,1989
461865,2,0,.260,.210,25,1985
543685,92,24,.374,.308,163,1990
519203,101,25,.376,.283,160,1989
605131,14,4,.329,.205,41,1989
595978,37,14,.282,.231,70,1992
519222,42,10,.295,.244,59,1988
541645,49,19,.281,.236,84,1991
571740,29,4,.299,.236,119,1990
474832,46,14,.342,.253,101,1988
543063,54,14,.325,.254,135,1987
458731,45,12,.322,.236,125,1983
435263,23,7,.301,.212,40,1984
571788,46,7,.362,.277,89,1988
547180,100,34,.393,.249,137,1992
457763,41,5,.359,.284,113,1987
621439,4,0,.183,.156,14,1993
543068,74,30,.323,.253,127,1990
543376,17,3,.254,.219,58,1986
621043,65,15,.323,.239,96,1994
471865,64,16,.329,.276,128,1985
593372,4,1,.235,.242,8,1991
467793,86,24,.352,.229,128,1986
514917,60,15,.356,.253,153,1990
453568,70,29,.358,.291,182,1986
502624,2,0,.089,.089,4,1987
452104,4,0,.233,.115,6,1984
596144,7,3,.282,.194,20,1992
448801,49,16,.243,.168,79,1986
543302,7,2,.322,.237,18,1987
455104,36,11,.345,.224,67,1983
572008,22,4,.272,.206,58,1991
455759,13,6,.252,.168,19,1983
592885,110,36,.402,.326,187,1991
458675,1,1,.204,.133,6,1986
572816,55,13,.330,.300,151,1989
608369,13,2,.348,.267,27,1994
605486,25,7,.298,.235,70,1991
502226,11,1,.321,.269,42,1983
518614,57,13,.353,.238,83,1986
444482,87,30,.352,.293,164,1987
543829,36,4,.288,.268,149,1988
592261,22,2,.310,.216,72,1992
518618,45,16,.330,.265,132,1989
571918,7,0,.224,.167,13,1990
581527,44,11,.275,.232,83,1991
451594,31,8,.278,.180,52,1986
544369,86,27,.335,.268,135,1990
553988,21,1,.263,.206,44,1992
518934,62,15,.321,.276,147,1988
456030,0,0,.231,.091,1,1983
592696,77,24,.323,.288,161,1991
429665,107,32,.336,.246,123,1983
501303,39,6,.301,.251,84,1989
553869,34,10,.339,.286,72,1990
462101,33,6,.308,.256,101,1988
542255,61,10,.325,.265,158,1990
571771,52,21,.336,.256,103,1991
543333,69,18,.322,.253,155,1989
553993,104,34,.366,.283,149,1991
594828,78,25,.284,.226,92,1986
446334,54,16,.281,.244,117,1985
465041,57,12,.378,.259,86,1986
596019,92,38,.352,.277,183,1993
518692,98,23,.388,.309,191,1989
520471,67,13,.299,.248,149,1989
596142,53,18,.291,.186,60,1992
543807,71,22,.346,.265,144,1989
543037,0,0,.000,.000,0,1990
519317,100,38,.343,.266,164,1989
491676,40,15,.285,.234,97,1987
594824,15,3,.309,.221,40,1989
453923,12,2,.262,.217,41,1983
570256,81,23,.340,.254,117,1991
434670,29,6,.313,.254,45,1983
452254,24,4,.258,.226,53,1983
435622,88,22,.307,.236,131,1985
400085,0,0,.255,.205,9,1973
592663,74,21,.340,.277,132,1991
598265,59,13,.314,.234,111,1990
594798,5,0,.211,.164,11,1988
453562,3,1,.188,.133,6,1986
571875,31,6,.307,.222,46,1990
545350,28,10,.275,.211,45,1991
543510,39,8,.267,.220,94,1990
502481,12,2,.282,.189,39,1984
488771,3,1,.257,.143,9,1987
518792,57,8,.335,.270,119,1989
543401,75,18,.315,.230,122,1987
595879,111,34,.326,.290,176,1992
516416,63,10,.341,.304,178,1990
476704,99,23,.353,.267,159,1984
576397,47,11,.346,.262,92,1988
425772,20,1,.272,.200,39,1983
502188,0,0,.100,.100,1,1985
527043,22,7,.273,.216,42,1991
542583,108,35,.352,.274,135,1990
491696,17,1,.247,.209,38,1988
542908,1,1,.268,.188,12,1990
592626,56,25,.321,.248,98,1992
408045,48,6,.351,.282,137,1983
605412,24,4,.307,.254,91,1990
608336,92,40,.312,.206,103,1993
458015,67,12,.417,.284,143,1983
543308,32,9,.312,.260,75,1989
452657,9,1,.119,.119,7,1984
474568,39,6,.315,.251,99,1986
593871,42,6,.345,.288,87,1993
624585,28,9,.354,.265,59,1992
547989,78,22,.325,.265,132,1987
514888,61,13,.386,.316,169,1990
578428,48,5,.310,.269,116,1990
446653,4,0,.246,.143,7,1984
606299,58,14,.326,.288,182,1994
517369,32,5,.300,.249,109,1989
608070,105,39,.387,.270,156,1992
543281,37,8,.293,.250,86,1987
572033,15,2,.255,.204,19,1988
518542,3,1,.184,.162,6,1989
501571,6,0,.375,.339,20,1989
527054,4,1,.190,.175,7,1991
475253,77,25,.350,.242,122,1986
457759,52,14,.406,.312,114,1984
592230,10,1,.210,.134,15,1992
605509,10,0,.265,.207,29,1990
434778,57,21,.331,.249,103,1983
542979,11,4,.281,.179,14,1990
606466,59,14,.332,.260,135,1993
595281,29,7,.282,.217,72,1990
607680,59,15,.282,.252,129,1989
608700,30,7,.315,.210,50,1991
501981,123,48,.326,.247,142,1987
594777,57,19,.283,.208,102,1987
543939,38,9,.332,.249,88,1990
592178,52,13,.374,.272,106,1992
435559,50,12,.332,.271,94,1983
656941,61,26,.356,.238,102,1993
572122,78,22,.273,.221,129,1987
544725,32,4,.303,.271,70,1991
489149,39,15,.276,.186,59,1987
502082,9,1,.394,.321,27,1988
456715,38,10,.395,.308,166,1986
472528,33,9,.253,.199,53,1985
571912,27,3,.333,.248,50,1991
607776,11,4,.295,.213,20,1990
596748,68,22,.314,.270,117,1992
542303,88,23,.325,.280,163,1990
543760,70,15,.318,.255,161,1990
592192,52,17,.328,.249,91,1989
448602,40,13,.328,.248,51,1983
445988,18,1,.287,.244,48,1983
503556,68,16,.324,.247,121,1989
572761,81,36,.374,.257,145,1985
407812,3,2,.415,.283,15,1980
459964,15,7,.322,.208,43,1984
446308,30,8,.330,.238,56,1986
596146,58,20,.319,.224,119,1993
453286,6,0,.274,.243,17,1984
572191,28,6,.287,.227,80,1991
488726,76,17,.364,.309,176,1987
624424,82,28,.350,.243,132,1993
408234,22,3,.395,.299,40,1983
500743,53,11,.297,.252,123,1989
593934,41,13,.281,.199,53,1993
545361,79,39,.460,.312,147,1991
572287,44,20,.259,.201,75,1991
543484,29,9,.276,.202,45,1989
519048,68,15,.325,.245,99,1985
605141,80,32,.438,.346,180,1992
443558,97,37,.342,.256,133,1980
592206,89,23,.354,.298,185,1992
605113,70,16,.290,.234,121,1990
460026,31,10,.298,.241,68,1983
455976,93,14,.366,.297,185,1983
571448,110,38,.374,.297,175,1991
546318,71,22,.310,.255,140,1991
571578,5,0,.222,.197,12,1989
502671,83,33,.389,.290,172,1987
449181,5,0,.194,.167,15,1985
488721,4,1,.239,.205,9,1987
545341,61,25,.301,.245,104,1991
543257,48,5,.367,.273,108,1989
592662,2,0,.075,.077,3,1991
547379,19,2,.256,.168,30,1988
429664,50,10,.374,.303,94,1982
455139,65,18,.338,.222,80,1984
591720,7,0,.294,.280,28,1992
596059,63,18,.326,.253,120,1994
431145,25,10,.338,.194,56,1983
460075,64,20,.313,.254,103,1983
572365,6,0,.252,.226,26,1988
607387,12,6,.221,.194,27,1990
475582,51,13,.337,.264,76,1984
521692,80,27,.274,.235,120,1990
506702,22,5,.232,.177,47,1989
571697,92,23,.357,.310,181,1990
594988,49,17,.337,.255,97,1990
425783,62,21,.377,.264,148,1982
516770,54,12,.329,.278,165,1990
516782,72,20,.327,.277,155,1988
572039,88,27,.331,.267,146,1991
544931,1,0,.163,.122,5,1988
519306,29,5,.309,.220,53,1989
543699,8,0,.217,.190,11,1986
600303,19,1,.340,.266,45,1989
518595,3,1,.250,.200,3,1989
608671,17,4,.332,.259,90,1991
543768,86,32,.345,.241,120,1990
607208,73,19,.344,.271,180,1993
571466,46,10,.328,.248,114,1991
452095,30,8,.341,.227,57,1986
400121,54,9,.297,.251,117,1978
571976,39,11,.318,.253,79,1990
594694,42,7,.298,.230,94,1992
527038,51,11,.319,.267,103,1991
593428,103,23,.360,.288,148,1992
425877,74,20,.314,.261,120,1982
543228,48,16,.313,.266,107,1987
500208,54,17,.277,.226,106,1987
624577,63,23,.327,.267,108,1990
518735,68,24,.349,.241,106,1988
570560,55,8,.306,.242,145,1992
446359,18,5,.296,.219,49,1985
425844,5,0,.269,.234,15,1983
