2015,2016,2017,2018 predict,2018 actual,Error,Example error of 2016-17
0.315,0.244,0.266,0.25740046,0.257,0.00040046,0.022
0.241,0.197,0.272,0.252168791,0.181,0.071168791,0.075
0.256,0.217,0.266,0.253653205,0.248,0.005653205,0.049
0.287,0.284,0.297,0.259436089,0.301,-0.041563911,0.013
0.269,0.265,0.285,0.257350105,0.281,-0.023649895,0.02
0.242,0.238,0.239,0.25338085,0.25,0.00338085,0.001
0.287,0.3,0.312,0.260754471,0.273,-0.012245529,0.012
0.275,0.285,0.242,0.257298907,0.237,0.020298907,-0.043
0.244,0.268,0.241,0.255145707,0.245,0.010145707,-0.027
0.257,0.261,0.25,0.255562218,0.231,0.024562218,-0.011
0.271,0.22,0.208,0.252551231,0.245,0.007551231,-0.012
0.265,0.281,0.278,0.25783255,0.292,-0.03416745,-0.003
0.255,0.236,0.233,0.253591398,0.21,0.043591398,-0.003
0.264,0.27,0.301,0.257927714,0.308,-0.050072286,0.031
0.278,0.292,0.273,0.258765489,0.283,-0.024234511,-0.019
0.207,0.156,0.289,0.249127158,0.205,0.044127158,0.133
0.168,0.125,0.214,0.243417729,0.231,0.012417729,0.089
0,0.242,0.218,0.2431482,0.244,-0.0008518,-0.024
0.257,0.245,0.33,0.257226611,0.236,0.021226611,0.085
0.226,0.26,0.247,0.254198512,0.236,0.018198512,-0.013
0.28,0.275,0.241,0.25692448,0.253,0.00392448,-0.034
0.256,0.275,0.253,0.256372071,0.254,0.002372071,-0.022
0.259,0.261,0.264,0.256083962,0.236,0.020083962,0.003
0.232,0.242,0.241,0.253268133,0.212,0.041268133,-0.001
0.28,0.255,0.2,0.254544473,0.277,-0.022455527,-0.055
0.33,0.243,0.319,0.259578774,0.249,0.010578774,0.076
0.318,0.288,0.32,0.261545453,0.284,-0.022454547,0.032
0.209,0.225,0.253,0.251820038,0.156,0.095820038,0.028
0.262,0.278,0.248,0.256608435,0.253,0.003608435,-0.03
0.234,0.174,0.256,0.250124342,0.219,0.031124342,0.082
0.279,0.274,0.315,0.259157908,0.239,0.020157908,0.041
0.271,0.298,0.262,0.258470481,0.276,-0.017529519,-0.036
0.143,0.237,0.177,0.247374593,0.242,0.005374593,-0.06
0.231,0.259,0.259,0.254723149,0.229,0.025723149,0
0.272,0.294,0.294,0.259299215,0.253,0.006299215,0
0.287,0.324,0.331,0.262612379,0.291,-0.028387621,0.007
0.104,0.089,0.135,0.236191413,0.089,0.147191413,0.046
0.259,0.253,0.273,0.255938066,0.115,0.140938066,0.02
0.217,0.274,0.231,0.254090561,0.194,0.060090561,-0.043
0.262,0.221,0.215,0.252476265,0.168,0.084476265,-0.006
0.146,0.284,0.181,0.250197351,0.237,0.013197351,-0.103
0.188,0.21,0.254,0.250199206,0.224,0.026199206,0.044
0.227,0.277,0.268,0.25582315,0.206,0.04982315,-0.009
0.252,0.276,0.235,0.255698907,0.168,0.087698907,-0.041
0.3,0.298,0.282,0.260210738,0.326,-0.065789262,-0.016
0.238,0.206,0.281,0.252827443,0.133,0.119827443,0.075
0.304,0.245,0.282,0.257533949,0.3,-0.042466051,0.037
0.337,0.308,0.295,0.26254784,0.267,-0.00445216,-0.013
0.271,0.229,0.264,0.254825482,0.235,0.019825482,0.035
0.12,0.147,0.257,0.2440929,0.269,-0.0249071,0.11
0.205,0.264,0.233,0.253139272,0.238,0.015139272,-0.031
0.312,0.251,0.293,0.258507504,0.293,-0.034492496,0.042
0.333,0.268,0.308,0.260681574,0.268,-0.007318426,0.04
0.261,0.209,0.269,0.253510797,0.216,0.037510797,0.06
0.256,0.279,0.249,0.256460429,0.265,-0.008539571,-0.03
0.226,0.083,0.211,0.243333455,0.167,0.076333455,0.128
0.304,0.3,0.259,0.259751494,0.232,0.027751494,-0.041
0.25,0.276,0.264,0.25654041,0.18,0.07654041,-0.012
0.265,0.276,0.287,0.257847859,0.268,-0.010152141,0.011
0.235,0.1,0.259,0.246195262,0.206,0.040195262,0.159
0.301,0.348,0.31,0.263757744,0.276,-0.012242256,-0.038
0.291,0.318,0.293,0.261270913,0.091,0.170270913,-0.025
0.267,0.269,0.29,0.257644514,0.288,-0.030355486,0.021
0.277,0.263,0.258,0.25670104,0.246,0.01070104,-0.005
0.186,0.254,0.265,0.252869083,0.251,0.001869083,0.011
0,0,0.223,0.22981827,0.286,-0.05618173,0.223
0.258,0.302,0.297,0.259280486,0.256,0.003280486,-0.005
0.303,0.291,0.304,0.260638386,0.265,-0.004361614,0.013
0.307,0.19,0.215,0.252554985,0.256,-0.003445015,0.025
0.297,0.266,0.318,0.259514821,0.253,0.006514821,0.052
0.28,0.248,0.26,0.256073784,0.283,-0.026926216,0.012
0.246,0.251,0.263,0.255005845,0.226,0.029005845,0.012
0.27,0.273,0.261,0.257061473,0.244,0.013061473,-0.012
0.295,0.264,0.249,0.257167087,0.259,-0.001832913,-0.015
0.313,0.301,0.273,0.260585509,0.277,-0.016414491,-0.028
0.276,0.302,0.307,0.260284417,0.309,-0.048715583,0.005
0.263,0.241,0.255,0.25487593,0.248,0.00687593,0.014
0,0.299,0.278,0.24824245,0.186,0.06224245,-0.021
0.276,0.261,0.283,0.257343399,0.265,-0.007656601,0.022
0.15,0.2,0.164,0.245196897,0,0.245196897,-0.036
0.265,0.24,0.281,0.255724201,0.266,-0.010275799,0.041
0,0.259,0.255,0.245298885,0.234,0.011298885,-0.004
0.24,0.276,0.253,0.255801795,0.221,0.034801795,-0.023
0.291,0.224,0.246,0.254762617,0.217,0.037762617,0.022
0.256,0.258,0.251,0.255393197,0.254,0.001393197,-0.007
0.249,0.286,0.242,0.256342172,0.254,0.002342172,-0.044
0.275,0.289,0.26,0.258080834,0.226,0.032080834,-0.029
0.233,0.285,0.274,0.25667781,0.236,0.02067781,-0.011
0.229,0.291,0.255,0.256242419,0.205,0.051242419,-0.036
0.259,0.303,0.278,0.25877686,0.277,-0.01822314,-0.025
0.249,0.267,0.245,0.255414507,0.234,0.021414507,-0.022
0.186,0.143,0.211,0.245042962,0.164,0.081042962,0.068
0.152,0.262,0.131,0.247607004,0.133,0.114607004,-0.131
0.263,0.249,0.248,0.25508552,0.222,0.03308552,-0.001
0.236,0.209,0.243,0.251696379,0.211,0.040696379,0.034
0.264,0.221,0.253,0.253769246,0.22,0.033769246,0.032
0.25,0.278,0.251,0.256236306,0.189,0.067236306,-0.027
0.211,0.21,0.242,0.250728342,0.143,0.107728342,0.032
0.293,0.23,0.259,0.255576566,0.27,-0.014423434,0.029
0.303,0.275,0.232,0.257529223,0.23,0.027529223,-0.043
0.289,0.273,0.273,0.258173625,0.29,-0.031826375,0
0.257,0.319,0.3,0.260240436,0.304,-0.043759564,-0.019
0.222,0.263,0.277,0.255158217,0.267,-0.011841783,0.014
0.247,0.243,0.272,0.254898719,0.262,-0.007101281,0.029
0.161,0.238,0.215,0.249389888,0.2,0.049389888,-0.023
0.5,0.156,0.094,0.254276803,0.1,0.154276803,-0.062
0.213,0.252,0.173,0.250872743,0.216,0.034872743,-0.079
0.316,0,0.265,0.244082694,0.274,-0.029917306,0.265
0.157,0.48,0.256,0.263501342,0.209,0.054501342,-0.224
0.5,0.234,0.207,0.26199638,0.188,0.07399638,-0.027
0.21,0.246,0.212,0.251685163,0.248,0.003685163,-0.034
0.265,0.261,0.305,0.257609743,0.282,-0.024390257,0.044
0.312,0.239,0.288,0.25770822,0.254,0.00370822,0.049
0.204,0.04,0.209,0.239989352,0.206,0.033989352,0.169
0.314,0.326,0.32,0.263399632,0.284,-0.020600368,-0.006
0.063,0.5,0.266,0.26118984,0.26,0.00118984,-0.234
0.065,0.102,0.148,0.23573917,0.119,0.11673917,0.046
0.244,0.256,0.255,0.254943318,0.251,0.003943318,-0.001
0.3,0.282,0.256,0.258544068,0.288,-0.029455932,-0.026
0.262,0.238,0.144,0.251115339,0.265,-0.013884661,-0.094
0.29,0.293,0.304,0.260248402,0.265,-0.004751598,0.011
0.313,0.338,0.346,0.264788393,0.316,-0.051211607,0.008
0.3,0.255,0.255,0.25706636,0.269,-0.01193364,0
0.199,0.232,0.17,0.249124651,0.143,0.106124651,-0.062
0.182,0.324,0.259,0.256299361,0.288,-0.031700639,-0.065
0.23,0.154,0.288,0.249899212,0.249,0.000899212,0.134
0.219,0.312,0.318,0.258963414,0.27,-0.011036586,0.006
0.287,0.283,0.272,0.258599909,0.25,0.008599909,-0.011
0.249,0.256,0.201,0.253415754,0.204,0.049415754,-0.055
0.048,0.261,0.231,0.246593236,0.162,0.084593236,-0.03
0.259,0.239,0.25,0.254452527,0.339,-0.084547473,0.011
0.096,0.204,0.14,0.242426962,0.175,0.067426962,-0.064
0.226,0.217,0.27,0.252601318,0.242,0.010601318,0.053
0.294,0.275,0.322,0.260004065,0.312,-0.051995935,0.047
0.174,0.176,0.225,0.246835081,0.134,0.112835081,0.049
0.303,0.292,0.258,0.259255725,0.207,0.052255725,-0.034
0.29,0.263,0.25,0.256951718,0.249,0.007951718,-0.013
0,0.242,0.22,0.243213981,0.179,0.064213981,-0.022
0.283,0.259,0.26,0.256781758,0.26,-0.003218242,0.001
0.263,0.246,0.276,0.255811574,0.217,0.038811574,0.03
0.278,0.266,0.256,0.256837785,0.252,0.004837785,-0.01
0.219,0.197,0.26,0.250914865,0.21,0.040914865,0.063
0.247,0.247,0.247,0.254319828,0.247,0.007319828,0
0.256,0.271,0.244,0.255871523,0.208,0.047871523,-0.027
0.262,0.24,0.285,0.255733972,0.249,0.006733972,0.045
0.275,0.292,0.295,0.259339232,0.272,-0.012660768,0.003
0.24,0.258,0.283,0.255783172,0.271,-0.015216828,0.025
0.246,0,0.211,0.239523388,0.238,0.001523388,0.211
0.266,0.278,0.249,0.256795501,0.221,0.035795501,-0.029
0.214,0.229,0.27,0.252779665,0.271,-0.018220335,0.041
0.225,0.238,0.246,0.252935098,0.186,0.066935098,0.008
0.246,0.286,0.288,0.257678889,0.321,-0.063321111,0.002
0.307,0.287,0.3,0.26045398,0.308,-0.04754602,0.013
0.224,0.26,0.199,0.252582587,0.199,0.053582587,-0.061
0.171,0.227,0.146,0.246943436,0.248,-0.001056564,-0.081
0.219,0.223,0.235,0.251529518,0.213,0.038529518,0.012
0.28,0.255,0.23,0.255499818,0.27,-0.014500182,-0.025
0.259,0.266,0.312,0.257865396,0.28,-0.022134604,0.046
0.257,0.238,0.249,0.254288348,0.255,-0.000711652,0.011
0.254,0.122,0.208,0.246513329,0.249,-0.002486671,0.086
0.23,0.282,0.267,0.256177865,0.248,0.008177865,-0.015
0.288,0.305,0.25,0.259121995,0.244,0.015121995,-0.055
0.279,0.254,0.303,0.257712552,0.247,0.010712552,0.049
0.272,0.271,0.241,0.256399166,0.257,-0.000600834,-0.03
0.279,0.246,0.231,0.255007092,0.283,-0.027992908,-0.015
0.174,0.242,0.243,0.251032889,0.208,0.043032889,0.001
0.267,0.243,0.225,0.254185274,0.238,0.016185274,-0.018
0.143,0.235,0.243,0.249409288,0.224,0.025409288,0.008
0.217,0.186,0.161,0.247028915,0.243,0.004028915,-0.025
0.229,0.231,0.271,0.253511408,0.227,0.026511408,0.04
0.31,0.231,0.299,0.257547394,0.309,-0.051452606,0.068
0.27,0.22,0.279,0.254775881,0.243,0.011775881,0.059
0.338,0.316,0.249,0.261582741,0.299,-0.037417259,-0.067
0.282,0.247,0.29,0.25704422,0.252,0.00504422,0.043
0.269,0.236,0.264,0.255125649,0.199,0.056125649,0.028
0.299,0.315,0.306,0.261819935,0.312,-0.050180065,-0.009
0.174,0.207,0.251,0.249379068,0.201,0.048379068,0.044
0.295,0.195,0.276,0.254301479,0.202,0.052301479,0.081
0.278,0.233,0.246,0.254742804,0.245,0.009742804,0.013
0.291,0.318,0.264,0.260367297,0.346,-0.085632703,-0.054
0.302,0.287,0.288,0.259889262,0.256,0.003889262,0.001
0.255,0.285,0.272,0.257470442,0.298,-0.040529558,-0.013
0.226,0.218,0.251,0.252047708,0.234,0.018047708,0.033
0.301,0.26,0.244,0.257026263,0.241,0.016026263,-0.016
0.296,0.269,0.275,0.258291864,0.297,-0.038708136,0.006
0.287,0.294,0.309,0.260342517,0.297,-0.036657483,0.015
0.297,0.286,0.281,0.259425978,0.255,0.004425978,-0.005
0.12,0.306,0.125,0.248525096,0.197,0.051525096,-0.181
0.321,0.297,0.297,0.2614235,0.29,-0.0285765,0
0.249,0.302,0.198,0.255803856,0.167,0.088803856,-0.104
0.2,0.251,0.223,0.25191415,0.205,0.04691415,-0.028
0.276,0.24,0.238,0.254788719,0.245,0.009788719,-0.002
0.143,0.28,0.246,0.251959383,0.273,-0.021040617,-0.034
0.097,0.189,0.245,0.245085824,0.077,0.168085824,0.056
0.228,0.183,0.207,0.248798033,0.168,0.080798033,0.024
0.287,0.298,0.28,0.259650613,0.303,-0.043349387,-0.018
0.232,0.224,0.255,0.252738788,0.222,0.030738788,0.031
0.333,0.258,0.292,0.259652021,0.28,-0.020347979,0.034
0.261,0.271,0.204,0.254793748,0.253,0.001793748,-0.067
0.24,0.231,0.221,0.252345659,0.194,0.058345659,-0.01
0.285,0.305,0.268,0.259571125,0.254,0.005571125,-0.037
0.25,0.186,0.237,0.250802636,0.226,0.024802636,0.051
0.193,0.258,0.217,0.251823673,0.194,0.057823673,-0.041
0.249,0.218,0.303,0.254608734,0.264,-0.009391266,0.085
0.26,0.247,0.268,0.255495293,0.235,0.020495293,0.021
0.184,0.31,0.225,0.254540884,0.177,0.077540884,-0.085
0.264,0.263,0.295,0.257363944,0.31,-0.052636056,0.032
0.25,0.265,0.233,0.254963993,0.255,-3.60E-05,-0.032
0.276,0.242,0.261,0.255626764,0.264,-0.008373236,0.019
0.265,0.27,0.3,0.25793497,0.278,-0.02006503,0.03
0.287,0.311,0.275,0.26018591,0.277,-0.01681409,-0.036
0.305,0.273,0.235,0.257593808,0.267,-0.009406192,-0.038
0.132,0.208,0.13,0.243789858,0.122,0.121789858,-0.078
0.225,0.247,0.239,0.253199451,0.22,0.033199451,-0.008
0.185,0.125,0.091,0.240059206,0.19,0.050059206,-0.034
0.269,0.27,0.288,0.257712564,0.266,-0.008287436,0.018
0.268,0.247,0.244,0.255045528,0.2,0.055045528,-0.003
0.211,0.245,0.187,0.250864165,0.259,-0.008135835,-0.058
0.27,0.242,0.273,0.255773392,0.241,0.014773392,0.031
0.225,0.342,0.284,0.25972839,0.271,-0.01127161,-0.058
0.252,0.257,0.27,0.255785827,0.248,0.007785827,0.013
0.239,0.27,0.281,0.256326873,0.227,0.029326873,0.011
0.245,0.289,0.255,0.256759314,0.251,0.005759314,-0.034
0.253,0.259,0.243,0.255075727,0.253,0.002075727,-0.016
0.182,0.276,0.271,0.254094266,0.23,0.024094266,-0.005
0.263,0.267,0.271,0.256783455,0.267,-0.010216545,0.004
0.32,0.294,0.273,0.260480381,0.288,-0.027519619,-0.021
0.27,0.307,0.273,0.259257574,0.261,-0.001742426,-0.034
0.231,0.167,0.232,0.248848462,0.266,-0.017151538,0.065
0.27,0.286,0.255,0.257569279,0.226,0.031569279,-0.031
0.255,0.263,0.263,0.256004185,0.267,-0.010995815,0
0.234,0.228,0.247,0.25277902,0.241,0.01177902,0.019
0.224,0.208,0.267,0.251936826,0.242,0.009936826,0.059
0.258,0.252,0.297,0.256603451,0.219,0.037603451,0.045
0.224,0.212,0.21,0.250322863,0.234,0.016322863,-0.002
